Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date
6.49M,"2,110",7.43M,$0.20,17,12.30,n/a,n/a,"Jul 25, 2024"
47.99M,"36,807",-21.04M,n/a,117,1.650,Strong Buy,4.75,"Aug 19, 2024"
7.73M,79,1.28M,n/a,186,10.33,n/a,n/a,n/a
,,,,146,,,,
51.52M,"201,805",-48.88M,n/a,98,1.550,Strong Buy,5.75,"Aug 8, 2024"
6.10M,"21,817",-38.70M,n/a,231,13.09,Hold,n/a,"Jul 29, 2024"
7.17M,4,3.64M,n/a,108,11.14,n/a,n/a,n/a
,,,,,,,,
7.00M,271,-3.59M,n/a,993,11.33,n/a,n/a,n/a
,,,,35,,,,
7.69M,"64,527","696,641",n/a,306,10.22,n/a,n/a,n/a
,,,,,,,,
33.52M,"6,055",-1.49M,n/a,,2.350,n/a,n/a,"Aug 1, 2024"
45.47M,"64,937",-23.43M,n/a,75,1.730,n/a,n/a,"Aug 9, 2024"
85.66M,"40,485",-51.89M,n/a,"1,751",0.920,n/a,n/a,"Aug 29, 2024"
11.47M,"12,572","891,000",$0.80,130,6.85,n/a,n/a,"Jul 31, 2024"
14.48M,"976,179",-27.04M,n/a,28,5.42,Buy,7.25,"Aug 14, 2024"
31.10M,"7,730",1.97M,n/a,40,2.570,Strong Buy,5.00,"Aug 14, 2024"
27.29M,"20,457",-40.80M,n/a,110,2.840,Strong Buy,7.50,"Aug 21, 2024"
7.01M,"73,001",2.29M,n/a,,11.14,n/a,n/a,n/a
,,,,76,,,,
6.49M,4,-1.73M,n/a,106,11.99,n/a,n/a,n/a
,,,,78,,,,
11.06M,"331,244","-187,152",n/a,81,7.010,n/a,n/a,"Sep 3, 2024"
58.28M,"35,421",-4.22M,n/a,133,1.330,Strong Buy,4.00,"Aug 12, 2024"
46.83M,"97,583",8.83M,n/a,583,1.650,Strong Buy,3.50,"Aug 7, 2024"
56.71M,"114,291",39.55M,n/a,241,1.360,n/a,n/a,"Sep 3, 2024"
23.65M,"1,018,774",-6.16M,n/a,"2,025",3.260,n/a,n/a,"Sep 3, 2024"
34.10M,"131,353",-26.54M,n/a,7,2.260,Strong Buy,32.33,"Aug 14, 2024"
6.71M,"5,287","281,026",n/a,155,11.49,n/a,n/a,n/a
,,,,148,,,,
6.38M,400,"21,012",n/a,10,12.02,n/a,n/a,n/a
,,,,,,,,
6.87M,245,1.54M,n/a,5,11.15,n/a,n/a,n/a
,,,,"1,962",,,,
37.75M,"85,595",8.34M,n/a,130,2.010,n/a,n/a,"Sep 6, 2024"
76.99M,"118,657",-20.48M,n/a,,0.990,Strong Buy,4.00,"Aug 1, 2024"
9.30M,"11,602",-20.05M,n/a,34,8.05,n/a,n/a,"Aug 13, 2024"
74.75M,"155,253",-33.46M,n/a,"3,342",1.020,Strong Buy,4.83,"Aug 12, 2024"
35.85M,"135,050",-50.98M,n/a,,2.120,Strong Buy,20.00,"Aug 13, 2024"
15.47M,"5,545,326",-10.97M,n/a,179,4.91,n/a,n/a,"Aug 8, 2024"
72.62M,"28,188",-41.45M,n/a,2,1.040,Hold,1.43,"Aug 8, 2024"
6.76M,302,1.32M,n/a,,11.16,n/a,n/a,n/a
,,,,24,,,,
7.19M,661,-2.20M,n/a,51,10.86,n/a,n/a,n/a
,,,,,,,,
6.84M,"2,070",2.22M,n/a,8,11.03,n/a,n/a,n/a
,,,,320,,,,
25.71M,"8,752",-25.52M,n/a,,2.930,Buy,4.50,"Aug 6, 2024"
55.26M,"43,206",-24.20M,n/a,393,1.360,n/a,n/a,"Aug 13, 2024"
39.03M,"18,662",-21.03M,n/a,,1.920,n/a,n/a,n/a
18.59M,"9,203",2.71M,n/a,435,4.030,n/a,n/a,"Aug 7, 2024"
18.29M,298,-12.87M,n/a,"2,303",4.090,Strong Buy,25.00,n/a
6.25M,"3,962",20.87M,n/a,"6,400",11.90,n/a,n/a,"Jun 6, 2024"
6.59M,74,"823,707",n/a,104,11.38,n/a,n/a,n/a
,,,,216,,,,
30.68M,"45,367",-80.15M,n/a,8,2.420,Buy,4.00,"Aug 8, 2024"
6.95M,105,1.44M,n/a,48,10.68,n/a,n/a,n/a
,,,,98,,,,
54.05M,"149,439",17.46M,n/a,35,1.370,Strong Buy,7.00,"Aug 5, 2024"
7.68M,"17,597",6.11M,$0.55,113,9.75,n/a,n/a,"Aug 8, 2024"
7.22M,"1,426","-15,975",n/a,686,n/a,n/a,n/a,n/a
,,,,444,,,,
13.33M,"39,879",-20.60M,n/a,70,5.51,n/a,n/a,"Jul 31, 2024"
6.63M,"2,603","362,699",n/a,"1,104",11.22,n/a,n/a,n/a
,,,,43,,,,
60.48M,"2,805",-7.13M,n/a,243,1.250,Buy,3.00,"Aug 6, 2024"
24.71M,"84,292",-42.11M,n/a,10,2.960,Strong Buy,10.00,"Aug 12, 2024"
6.41M,"8,804",2.60M,n/a,,11.34,n/a,n/a,n/a
,,,,15,,,,
50.94M,"13,615",-2.56M,n/a,625,1.430,Strong Buy,6.00,"Oct 17, 2024"
34.13M,"10,916","592,000",n/a,21,2.120,Strong Buy,9.25,"Aug 13, 2024"
5.64M,"3,661",4.45M,$0.72,312,12.72,n/a,n/a,"Jul 24, 2024"
5.95M,"4,804",8.18M,$0.71,75,12.00,n/a,n/a,"Aug 7, 2024"
48.09M,"34,577",-103.33M,n/a,37,2.100,n/a,n/a,"Aug 8, 2024"
71.88M,"19,452",21.62M,n/a,366,1.010,n/a,n/a,n/a
3.42M,"6,091",2.04M,n/a,"1,050",20.95,n/a,n/a,"Oct 10, 2024"
55.08M,"884,664",-149.24M,n/a,87,1.300,Buy,10.50,"Aug 13, 2024"
6.21M,722,5.58M,$1.00,,11.45,n/a,n/a,"Aug 8, 2024"
,,,,"1,695",,,,
1.50M,12,2.56M,$0.72,162,48.49,n/a,n/a,"Oct 24, 2024"
7.09M,"10,125","-14,179",n/a,,n/a,n/a,n/a,n/a
,,,,69,,,,
75.74M,"384,608",-123.06M,n/a,178,0.960,n/a,n/a,"Aug 29, 2024"
42.12M,"4,816",9.44M,n/a,86,1.650,n/a,n/a,n/a
6.71M,"15,589",5.97M,$0.22,73,10.58,n/a,n/a,"Aug 15, 2024"
6.27M,"1,808",-1.41M,n/a,8,11.24,n/a,n/a,n/a
,,,,90,,,,
44.21M,"51,397",-15.35M,n/a,73,1.590,n/a,n/a,"Sep 6, 2024"
45.64M,"32,809",-25.20M,n/a,75,1.540,Strong Buy,3.67,"Aug 7, 2024"
7.23M,"76,082",16.97M,n/a,,9.69,Strong Buy,39.50,"Aug 1, 2024"
9.86M,"9,332",8.41M,n/a,,7.08,n/a,n/a,"Aug 8, 2024"
13.39M,"16,890",-36.89M,n/a,,5.20,n/a,n/a,"Sep 3, 2024"
,,,,,,,,
21.98M,"35,363",-196.30M,n/a,5,3.250,n/a,n/a,"Sep 3, 2024"
6.43M,"3,242","520,671",n/a,4,10.80,n/a,n/a,n/a
,,,,29,,,,
39.98M,"2,280",9.66M,n/a,186,1.720,n/a,n/a,"Aug 14, 2024"
47.62M,"61,305",-19.28M,n/a,99,1.460,n/a,n/a,"Oct 14, 2024"
5.93M,2,1.16M,n/a,15,12.00,n/a,n/a,n/a
,,,,281,,,,
36.95M,"79,812",11.16M,n/a,107,1.860,n/a,n/a,"Aug 8, 2024"
15.76M,"1,078,763",-40.84M,n/a,107,4.340,Strong Buy,11.63,"Aug 22, 2024"
2.97M,641,3.60M,n/a,"5,447",22.82,n/a,n/a,"Aug 13, 2024"
10.05M,"819,810",-253.38M,n/a,130,6.77,Hold,4.00,"Sep 3, 2024"
67.34M,"3,525",-10.13M,n/a,43,1.020,n/a,n/a,"Sep 3, 2024"
5.22M,"15,786",-1.07M,n/a,"3,600",13.00,n/a,n/a,n/a
,,,,5,,,,
6.01M,948,"-242,739",n/a,60,11.25,n/a,n/a,n/a
,,,,32,,,,
5.78M,n/a,1.05M,n/a,46,11.53,n/a,n/a,n/a
,,,,,,,,
4.96M,"8,011",-1.17M,n/a,277,12.33,n/a,n/a,"Aug 15, 2024"
,,,,58,,,,
5.98M,351,4.09M,n/a,1,11.39,n/a,n/a,n/a
,,,,,,,,
8.99M,"6,677",2.82M,n/a,47,7.33,n/a,n/a,n/a
25.45M,"49,888",-13.90M,n/a,"1,993",2.640,n/a,n/a,"Jul 25, 2024"
3.49M,"5,717","608,000",$1.08,46,18.85,n/a,n/a,"Jul 23, 2024"
5.62M,502,1.47M,n/a,17,11.65,n/a,n/a,n/a
,,,,20,,,,
5.82M,1,"-530,902",n/a,12,11.24,n/a,n/a,n/a
,,,,58,,,,
22.48M,"74,067",-39.38M,n/a,128,2.910,n/a,n/a,"Oct 8, 2024"
53.13M,"130,466",-152.38M,n/a,,1.230,n/a,n/a,"Aug 8, 2024"
48.00M,"33,341",-103.33M,n/a,152,1.360,n/a,n/a,"Aug 8, 2024"
68.40M,"525,983",-118.09M,n/a,,0.954,Strong Buy,10.92,"Aug 8, 2024"
15.75M,"2,288",1.72M,n/a,344,4.140,n/a,n/a,"Oct 10, 2024"
94.21M,"501,323",-28.92M,n/a,17,0.690,Strong Buy,8.75,"Sep 3, 2024"
5.69M,11,1.44M,n/a,82,11.41,n/a,n/a,n/a
,,,,252,,,,
12.40M,880,-9.36M,n/a,315,5.17,Strong Buy,23.50,"Oct 18, 2024"
54.60M,"148,661",-38.29M,$0.10,,1.180,Strong Buy,1.35,"Aug 13, 2024"
12.05M,"10,200",-48.60M,n/a,"2,500",5.32,Strong Buy,39.40,"Aug 8, 2024"
15.23M,"37,239",-100.47M,n/a,,4.210,Strong Buy,16.25,"Sep 3, 2024"
35.96M,"3,810,110",-15.92M,n/a,69,1.780,Strong Buy,6.00,"Aug 14, 2024"
20.53M,"135,864",-2.57M,$1.20,27,3.100,Sell,3.50,"Aug 6, 2024"
5.83M,650,1.35M,n/a,57,10.91,n/a,n/a,n/a
,,,,,,,,
88.85M,"773,670",-206.00M,n/a,,0.715,Hold,1.67,"Aug 7, 2024"
27.00M,"33,437,307","-190,579",n/a,5,2.350,n/a,n/a,"Sep 3, 2024"
37.43M,"1,042",-1.63M,n/a,69,1.590,n/a,n/a,n/a
12.22M,"29,177",-60.89M,n/a,,5.210,Buy,9.00,"Sep 13, 2024"
13.59M,"3,345",-7.28M,n/a,48,4.800,Buy,7.50,"Sep 11, 2024"
5.86M,"32,929",-141.65M,n/a,68,10.76,Hold,8.50,"Sep 10, 2024"
167.84M,"420,132",-99.74M,n/a,117,0.375,Strong Buy,2.00,"May 20, 2024"
7.69M,"11,153",-10.28M,n/a,58,8.18,Strong Buy,14.00,"Aug 14, 2024"
37.86M,"285,170",-35.39M,n/a,70,1.660,Buy,n/a,"Aug 8, 2024"
58.60M,"311,979",-36.16M,n/a,,1.070,n/a,n/a,"Sep 3, 2024"
26.56M,"67,316",-16.91M,n/a,"1,113",2.350,Buy,8.00,"Aug 14, 2024"
2.76M,"43,306",-6.62M,n/a,51,22.53,n/a,n/a,"Aug 14, 2024"
36.32M,"14,383",-8.54M,n/a,323,1.730,Strong Buy,10.00,"Aug 9, 2024"
1.20B,"350,608",-30.12M,n/a,,0.735,Strong Buy,21.00,"Aug 15, 2024"
199.15M,"1,233,450",48.96M,n/a,106,0.310,n/a,n/a,"Sep 3, 2024"
17.09M,"15,797",77.78M,n/a,23,3.610,n/a,n/a,"Aug 12, 2024"
,,,,628,,,,
4.59M,"20,851",3.25M,$0.60,,13.42,n/a,n/a,"Aug 9, 2024"
10.26M,"14,616",-77.99M,n/a,239,6.40,n/a,n/a,"Sep 3, 2024"
17.48M,"124,008",-48.26M,n/a,12,3.510,Hold,5.00,"Jul 29, 2024"
27.27M,"59,794",-137.72M,n/a,481,2.250,Hold,3.75,"Aug 1, 2024"
183.33M,"139,527",-1.45M,n/a,507,0.335,n/a,n/a,"Oct 18, 2024"
4.54M,697,8.52M,$0.40,303,13.15,n/a,n/a,"Oct 18, 2024"
5.74M,228,8.62M,$0.20,161,10.60,n/a,n/a,"Jul 24, 2024"
5.51M,"6,035","467,715",n/a,7,11.45,n/a,n/a,n/a
,,,,29,,,,
45.98M,"26,570",-7.00M,n/a,89,1.330,n/a,n/a,"Sep 24, 2024"
10.73M,"53,613",-6.90M,n/a,96,5.64,Strong Buy,11.00,"Sep 12, 2024"
14.51M,"492,442",-7.20M,n/a,134,4.160,n/a,n/a,"Oct 16, 2024"
5.36M,"3,814",2.17M,n/a,14,11.11,n/a,n/a,"Aug 8, 2024"
12.98M,"25,919","-137,034",n/a,,4.700,n/a,n/a,"Sep 6, 2024"
,,,,206,,,,
6.78M,753,6.04M,$0.48,"7,900",8.75,n/a,n/a,"Jul 31, 2024"
13.22M,"129,582",-168.64M,n/a,76,4.530,n/a,n/a,"Jul 24, 2024"
49.05M,"76,221",-8.16M,n/a,46,1.230,n/a,n/a,"Aug 8, 2024"
11.44M,"27,419",5.68M,$0.46,25,5.22,n/a,n/a,"Jul 22, 2024"
11.04M,"25,779",-6.37M,n/a,272,5.41,n/a,n/a,"Sep 9, 2024"
5.05M,176,1.44M,n/a,16,11.75,n/a,n/a,n/a
,,,,15,,,,
12.99M,"155,002",11.95M,n/a,7,4.560,n/a,n/a,"Sep 6, 2024"
13.77M,"3,875",-15.08M,n/a,67,4.300,Buy,12.00,"Aug 8, 2024"
65.97M,"456,939",-81.52M,n/a,"2,025",0.898,Buy,2.00,"Aug 14, 2024"
60.29M,"104,582",-102.85M,n/a,"2,055",0.980,Strong Buy,4.13,"Aug 8, 2024"
27.45M,"28,165",-19.02M,n/a,136,2.150,Strong Buy,7.00,"Aug 12, 2024"
17.04M,"85,452",-173.30M,n/a,32,3.460,Strong Buy,14.00,"Aug 13, 2024"
54.43M,"12,950",-25.53M,n/a,126,1.080,Strong Buy,4.50,"Aug 13, 2024"
66.70M,"5,139",-15.81M,n/a,107,0.900,n/a,n/a,"Sep 3, 2024"
8.69M,"2,993",2.77M,n/a,114,6.83,n/a,n/a,"Jul 30, 2024"
118.11M,"430,074",-133.03M,n/a,486,0.497,Strong Buy,4.75,"Aug 13, 2024"
69.96M,"130,195",-43.17M,n/a,,0.835,Strong Buy,2.50,"Aug 14, 2024"
5.56M,"110,964","-231,558",n/a,321,10.50,n/a,n/a,n/a
,,,,25,,,,
21.26M,"84,470",-46.06M,n/a,14,2.740,Strong Buy,6.00,"Sep 10, 2024"
11.27M,"23,580",2.20M,$0.29,73,5.17,n/a,n/a,"Aug 9, 2024"
4.13M,"2,942",3.95M,$0.32,,13.93,n/a,n/a,"Jul 25, 2024"
5.07M,2,"188,000",n/a,79,11.44,n/a,n/a,n/a
,,,,244,,,,
2.68M,"5,302",-3.88M,$1.32,921,21.58,n/a,n/a,"Aug 8, 2024"
,,,,6,,,,
11.45M,"1,763",-17.47M,n/a,,5.16,Strong Buy,12.50,"Aug 20, 2024"
3.13M,"9,375",-11.38M,n/a,89,18.49,n/a,n/a,"Aug 8, 2024"
16.60M,"7,317",-3.68M,n/a,7,3.390,n/a,n/a,"Aug 15, 2024"
15.51M,"79,829",-1.88M,n/a,,3.720,n/a,n/a,"Sep 3, 2024"
32.56M,"50,277",-17.87M,n/a,84,1.760,Buy,4.25,"Aug 14, 2024"
3.21M,"1,573",1.96M,$0.40,87,17.79,n/a,n/a,"Sep 3, 2024"
2.79M,"2,719",-2.38M,n/a,752,20.30,Strong Buy,30.00,"Aug 8, 2024"
,,,,44,,,,
58.48M,"220,249",-5.89M,n/a,,1.000,n/a,n/a,"Sep 3, 2024"
6.81M,"14,521",4.19M,n/a,68,8.29,n/a,n/a,"Aug 13, 2024"
24.02M,"98,875",-61.16M,n/a,22,2.350,n/a,n/a,"Aug 6, 2024"
55.10M,"3,880",-59.50M,n/a,151,1.040,Strong Buy,6.50,"Sep 10, 2024"
16.68M,"24,507",-7.04M,n/a,36,3.370,Strong Buy,9.50,"Sep 19, 2024"
16.39M,"2,860",-7.06M,n/a,92,3.450,Strong Buy,11.00,"Sep 19, 2024"
21.01M,"126,626",-21.16M,n/a,,2.660,Strong Buy,4.25,"Aug 12, 2024"
22.43M,"29,241",-39.35M,n/a,144,11.00,n/a,n/a,"Sep 3, 2024"
44.32M,"122,352",-8.56M,n/a,53,1.260,n/a,n/a,"Aug 14, 2024"
31.91M,"1,042,479",-37.57M,n/a,,1.750,Hold,1.50,"Aug 8, 2024"
36.69M,"11,203","428,346",n/a,49,1.530,n/a,n/a,"Aug 14, 2024"
35.16M,"149,818",-19.47M,n/a,,1.580,n/a,n/a,"Aug 7, 2024"
4.92M,1,-4.80M,n/a,9,11.25,n/a,n/a,n/a
,,,,"5,600",,,,
29.28M,"38,431",-11.55M,n/a,114,1.890,n/a,n/a,"Aug 16, 2024"
7.29M,"26,733",-29.36M,n/a,480,7.54,n/a,n/a,"Aug 8, 2024"
11.61M,"26,506",-12.56M,n/a,24,4.720,n/a,n/a,"Aug 8, 2024"
4.95M,1,"-483,513",n/a,4,11.03,n/a,n/a,n/a
,,,,584,,,,
19.60M,"7,061",-16.36M,n/a,6,2.800,Strong Buy,7.25,"Aug 12, 2024"
6.19M,"25,592",-17.74M,n/a,,8.80,n/a,n/a,"Aug 1, 2024"
10.46M,"15,265",33.23M,n/a,153,5.20,Strong Buy,10.00,"Aug 12, 2024"
,,,,281,,,,
17.39M,"23,120",-17.31M,n/a,193,3.120,Buy,7.00,"Aug 5, 2024"
25.93M,301,-9.35M,n/a,45,2.080,Strong Buy,6.67,"Sep 18, 2024"
4.71M,550,-1.12M,n/a,,11.54,n/a,n/a,n/a
,,,,17,,,,
30.16M,894,-5.93M,n/a,155,1.800,n/a,n/a,"Sep 18, 2024"
28.87M,"317,147",-87.94M,n/a,14,1.870,Hold,11.75,"Aug 12, 2024"
4.94M,"5,321",2.29M,n/a,"1,463",10.82,n/a,n/a,n/a
,,,,515,,,,
9.76M,"4,138,036",-19.91M,n/a,24,5.45,n/a,n/a,"Aug 14, 2024"
38.81M,"119,894",-6.46M,n/a,8,1.380,Strong Buy,3.00,"Sep 12, 2024"
4.84M,"5,170","-612,575",n/a,775,10.96,n/a,n/a,n/a
,,,,225,,,,
37.49M,"22,576",4.32M,n/a,85,1.350,n/a,n/a,"Aug 14, 2024"
4.55M,1,"-657,054",n/a,"1,250",11.63,n/a,n/a,n/a
,,,,56,,,,
2.28M,"91,459",-4.94M,n/a,188,23.06,n/a,n/a,"Aug 28, 2024"
41.31M,"110,598",-122.10M,n/a,146,1.270,n/a,n/a,"Sep 3, 2024"
15.51M,"94,482",-366.32M,n/a,77,3.380,Buy,7.50,"Aug 8, 2024"
323.00M,"546,411",-12.62M,n/a,14,0.164,n/a,n/a,"Sep 3, 2024"
14.50M,"380,231",-1.14M,n/a,78,3.600,n/a,n/a,n/a
33.43M,"77,228",-56.54M,n/a,30,1.550,Buy,8.58,"Aug 13, 2024"
4.44M,"2,752",-3.63M,n/a,201,11.67,n/a,n/a,"Jul 31, 2024"
29.03M,"239,012",-74.73M,n/a,8,1.780,n/a,n/a,n/a
23.83M,"28,111",-29.02M,n/a,12,2.150,Strong Buy,8.00,"Aug 14, 2024"
19.08M,"25,706",-26.31M,n/a,7,2.690,Strong Buy,11.00,"Aug 14, 2024"
41.72M,"37,545",-27.65M,n/a,175,1.220,Hold,1.58,"Aug 14, 2024"
21.99M,"136,970",7.46M,n/a,85,2.330,Strong Buy,5.17,"Aug 13, 2024"
26.77M,"78,279",-78.01M,n/a,32,1.910,n/a,n/a,"Aug 7, 2024"
3.72M,"55,240",-105.10M,n/a,72,13.70,Buy,26.88,"Sep 5, 2024"
63.49M,"285,642",-56.14M,n/a,41,0.798,Strong Buy,4.90,"Sep 3, 2024"
2.50M,"2,924",43.02M,n/a,45,20.20,n/a,n/a,"Jul 31, 2024"
14.75M,"8,675",-2.64M,n/a,8,3.400,Strong Buy,4.50,"Aug 14, 2024"
4.55M,"1,075","944,925",n/a,46,11.02,n/a,n/a,n/a
,,,,"1,071",,,,
21.67M,"29,648",-25.22M,n/a,,2.320,Strong Buy,19.00,"Aug 14, 2024"
28.21M,"98,615",-114.64M,n/a,"1,210",1.780,Buy,6.13,"Aug 8, 2024"
10.76M,"81,848",-17.75M,n/a,5,4.650,Hold,n/a,"Aug 8, 2024"
8.52M,"10,165",3.06M,n/a,,5.87,n/a,n/a,"Apr 30, 2024"
31.95M,"176,275",-5.15M,n/a,31,1.560,Strong Buy,2.75,"Sep 12, 2024"
26.30M,"27,812",-24.18M,n/a,317,1.900,Strong Buy,6.00,"Aug 20, 2024"
39.42M,"65,760",-183.17M,n/a,"2,245",1.260,n/a,n/a,"Sep 3, 2024"
2.75M,"21,629",-2.07M,n/a,490,17.94,n/a,n/a,"Aug 8, 2024"
16.04M,"38,881",-26.58M,n/a,20,3.080,Hold,2.50,"Aug 12, 2024"
4.53M,16,2.12M,n/a,,10.88,n/a,n/a,n/a
,,,,,,,,
57.29M,"482,813",-23.77M,n/a,23,0.857,Buy,2.33,"Jul 30, 2024"
10.31M,"55,368",4.21M,$0.32,15,4.760,n/a,n/a,"Aug 14, 2024"
4.47M,3,1.75M,n/a,77,10.95,n/a,n/a,n/a
,,,,894,,,,
11.78M,"2,985",-3.80M,n/a,68,4.140,n/a,n/a,"Sep 26, 2024"
35.13M,"9,166",1.29M,n/a,111,1.390,n/a,n/a,"Aug 9, 2024"
5.56M,"5,703",-6.75M,n/a,53,8.78,n/a,n/a,"Aug 8, 2024"
21.18M,"261,872",-5.17M,n/a,24,2.300,n/a,n/a,"Aug 8, 2024"
52.02M,"383,275",-37.36M,n/a,314,0.936,n/a,n/a,"Aug 14, 2024"
4.17M,"97,176",-26.14M,n/a,155,11.65,n/a,n/a,"Aug 14, 2024"
38.19M,"67,642",-6.51M,n/a,72,1.270,n/a,n/a,"Aug 19, 2024"
4.13M,"2,666",3.72M,n/a,2,11.70,n/a,n/a,n/a
4.11M,195,3.90M,n/a,213,11.64,n/a,n/a,n/a
,,,,362,,,,
36.38M,"13,935",-6.09M,n/a,87,1.350,n/a,n/a,"Sep 3, 2024"
,,,,108,,,,
4.14M,"5,634","-617,603",n/a,16,11.64,n/a,n/a,n/a
,,,,124,,,,
16.35M,"17,491","915,422",n/a,261,2.900,n/a,n/a,"Sep 6, 2024"
,,,,"1,770",,,,
15.81M,"131,158",-4.85M,n/a,30,3.030,Strong Buy,11.00,"Jul 12, 2024"
2.58M,"5,591",10.82M,$1.16,,18.91,n/a,n/a,"Aug 6, 2024"
59.11M,"330,002",-39.70M,n/a,37,0.809,Strong Buy,7.80,"Aug 6, 2024"
22.81M,"315,678",-49.27M,n/a,215,2.090,Strong Buy,16.33,"Aug 13, 2024"
10.92M,"63,189",-1.90M,n/a,26,4.350,Strong Buy,10.50,"Aug 12, 2024"
30.02M,"83,235",-9.40M,n/a,175,1.450,Strong Buy,2.50,"Aug 15, 2024"
30.91M,"4,945",-5.00M,n/a,,1.530,n/a,n/a,"Aug 12, 2024"
14.50M,"1,564",2.49M,n/a,33,3.090,n/a,n/a,"Sep 3, 2024"
41.54M,"179,794",-72.50M,n/a,28,1.130,Strong Buy,8.00,"Aug 8, 2024"
10.76M,"5,557","-764,000",n/a,6,4.360,n/a,n/a,"Aug 13, 2024"
39.41M,"24,905",-63.79M,n/a,"3,509",1.250,Strong Buy,4.00,"Aug 8, 2024"
41.49M,"83,368",-73.88M,n/a,142,1.130,Buy,8.30,"Aug 8, 2024"
16.21M,"193,373",-58.08M,n/a,203,2.890,Strong Buy,3.50,"Aug 13, 2024"
191.17M,"503,213",-9.92M,n/a,8,0.245,n/a,n/a,"Aug 19, 2024"
9.68M,"26,087",9.69M,n/a,79,4.830,Hold,5.25,"Aug 6, 2024"
10.76M,"20,837",-38.67M,n/a,36,4.340,Buy,10.00,"Aug 13, 2024"
81.99M,"45,199,000",-11.48M,n/a,140,0.569,n/a,n/a,"Sep 3, 2024"
14.40M,"17,503","-76,043",$0.59,325,3.260,n/a,n/a,"Sep 16, 2024"
,,,,32,,,,
16.87M,"8,270",-53.43M,n/a,260,2.760,Hold,4.00,"Aug 19, 2024"
61.77M,"171,434",-76.57M,n/a,5,0.753,Strong Buy,9.00,"Aug 8, 2024"
9.66M,"39,844",61.64M,n/a,679,4.810,n/a,n/a,"Aug 8, 2024"
3.97M,"5,926","289,115",n/a,38,11.57,n/a,n/a,n/a
,,,,134,,,,
53.56M,"871,028",-46.80M,n/a,96,0.866,n/a,n/a,"Sep 3, 2024"
3.60M,673,-9.80M,$0.75,"3,367",13.20,n/a,n/a,"Aug 12, 2024"
4.62M,"2,824",-4.57M,n/a,3,9.88,n/a,n/a,"Aug 9, 2024"
7.21M,"6,282,917",-26.92M,n/a,800,6.39,Strong Buy,15.33,"Aug 6, 2024"
44.58M,"9,259",-6.08M,n/a,294,1.030,n/a,n/a,"Aug 19, 2024"
11.95M,"14,328",-20.13M,n/a,28,3.720,n/a,n/a,"Aug 19, 2024"
72.96M,"605,001",-98.57M,n/a,"1,300",0.629,Buy,4.50,"Aug 13, 2024"
21.74M,"14,970","8,652",n/a,43,2.100,n/a,n/a,"Sep 6, 2024"
4.08M,"1,301","-187,466",n/a,74,11.15,n/a,n/a,n/a
,,,,10,,,,
10.45M,"27,826",-1.24M,n/a,14,4.350,Strong Buy,10.00,"Aug 14, 2024"
4.07M,118,"967,934",n/a,42,11.12,n/a,n/a,n/a
,,,,234,,,,
86.00M,"1,286,593",-204.10M,n/a,3,0.526,Buy,4.00,"Aug 7, 2024"
9.22M,"477,587",-1.89M,n/a,128,4.90,Hold,n/a,"Aug 13, 2024"
27.98M,"14,530",-61.28M,n/a,,1.610,Strong Buy,6.00,"Aug 1, 2024"
34.64M,"17,289",-28.37M,n/a,29,1.310,Buy,5.00,"Aug 8, 2024"
30.83M,"142,640",-47.58M,n/a,12,1.460,n/a,n/a,"Aug 13, 2024"
4.08M,"4,010","721,716",n/a,114,11.01,n/a,n/a,n/a
,,,,43,,,,
4.86M,"81,718",-7.00M,n/a,51,9.23,Strong Buy,13.17,"Jul 31, 2024"
3.53M,401,"90,487",n/a,19,13.28,n/a,n/a,n/a
,,,,100,,,,
26.35M,"243,564",-2.28M,n/a,25,1.700,n/a,n/a,"Aug 13, 2024"
20.63M,"192,398",-40.69M,n/a,78,2.170,Strong Buy,24.00,"Aug 6, 2024"
76.91M,"1,809,242",-37.28M,n/a,62,0.582,Strong Buy,10.00,"Aug 12, 2024"
3.68M,102,"232,716",n/a,55,12.14,n/a,n/a,n/a
,,,,97,,,,
4.05M,"1,360","-216,090",n/a,41,11.03,n/a,n/a,n/a
,,,,369,,,,
22.79M,"23,143",-61.16M,$0.34,127,2.000,n/a,n/a,"Aug 8, 2024"
14.35M,"28,481",1.99M,n/a,,3.110,Strong Buy,21.00,"Sep 3, 2024"
3.94M,417,1.31M,n/a,71,11.30,n/a,n/a,n/a
,,,,,,,,
29.30M,"165,202",1.05M,n/a,50,1.530,n/a,n/a,"Sep 3, 2024"
26.81M,"206,620",-131.56M,n/a,601,1.660,Strong Buy,9.50,"Jul 31, 2024"
10.00M,"21,552","-511,000",n/a,40,4.450,Strong Buy,7.50,"Aug 8, 2024"
31.04M,"44,102",-15.80M,n/a,"2,744",1.430,Hold,5.00,"Aug 13, 2024"
53.99M,"201,510",-54.15M,n/a,31,0.819,Strong Buy,4.25,"Aug 12, 2024"
3.90M,107,"647,142",n/a,25,11.31,n/a,n/a,n/a
,,,,32,,,,
49.60M,"31,285",8.20M,n/a,,0.900,n/a,n/a,"Sep 3, 2024"
19.53M,"35,930","-309,000",n/a,58,2.250,Buy,3.33,"Aug 8, 2024"
16.52M,"26,557",-3.15M,$0.12,,2.650,n/a,n/a,"Oct 15, 2024"
4.04M,"7,171","-165,714",n/a,57,10.81,n/a,n/a,n/a
